"player_id","player_name","avg_pts","avg_ast","avg_oreb","avg_dreb","avg_stl","avg_blk","avg_tov","avg_fgm","avg_fga","avg_tpm","avg_play_time","team_name","position"
1,"凯尔-科沃尔",5.83,0.72,0.11,1.56,0.39,0.22,0.33,1.89,4.44,1.5,17,"骑士",2.5
2,"蒂亚戈-斯普利特",5.2,0.4,0.8,2.2,0.2,0,0.8,1.8,4.6,0.2,10,"76人",5
3,"保罗-米尔萨普",24.33,4.33,1.5,7.83,1.5,0.67,3.83,8.33,16.5,0.5,35,"老鹰",4
4,"萨博-塞福洛沙",0.33,0,0,0,0,0,0,0,0.33,0,9,"老鹰",2.5
5,"杰夫-蒂格",17,6.25,0,3.25,1,0.75,2,5.5,11.25,2.25,35,"步行者",1
7,"丹尼斯-施罗德",24.67,7.67,0.67,1.67,1.17,0,1.67,8.33,18.33,2.83,33,"老鹰",1
8,"迈克-穆斯卡拉",2.83,0.33,1,1.67,0.17,0.5,0.17,0.83,3,0,17,"老鹰",4.5
9,"小蒂姆-哈达威",12.83,1.17,0.5,2.17,0.5,0,1.67,4.5,13.67,1.83,32,"老鹰",2
14,"阿米尔-约翰逊",2.57,0.21,1.21,0.93,0.36,0.43,0.43,1.07,2.14,0.07,11,"凯尔特人",4
15,"约纳斯-杰雷布科",3.58,1,0.58,1.83,0.42,0.25,0.5,1.25,2.58,0.42,12,"凯尔特人",3.5
16,"埃弗里-布拉德利",16.72,2.28,0.94,2.94,1.33,0.17,1.72,6.67,15.11,2.22,35,"凯尔特人",2
17,"以赛亚-托马斯",23.27,6.67,0.33,2.73,0.87,0.13,3.33,7.4,17.4,2.4,33,"凯尔特人",1
18,"泰勒-泽勒",2.91,0.73,0.73,1,0,0.18,0.36,1.18,2.27,0,8,"凯尔特人",5
20,"杰-克劳德",13.61,2.61,1.11,5.33,1,0.33,0.67,4.83,11.11,1.72,32,"凯尔特人",3.5
21,"凯利-奥利尼克",9.17,1.94,0.83,2.39,0.72,0.78,1.22,3.56,6.94,0.83,19,"凯尔特人",4.5
22,"马库斯-斯马特",8.61,4.72,1.22,3.44,1.44,0.94,2.17,2.61,7.39,1.61,29,"凯尔特人",1.5
23,"詹姆斯-杨",1.88,0.38,0.12,0.62,0,0,0.12,0.62,1.62,0.62,7,"凯尔特人",2.5
25,"特里-罗齐尔",5.65,1.88,0.71,1.88,0.65,0.18,0.59,1.94,4.82,0.82,15,"凯尔特人",1.5
27,"乔丹-米基",2,0,0,2.5,0,0.5,0.5,1,2.5,0,9,"凯尔特人",4
28,"杰伦-布朗",5,0.76,0.71,1.41,0.35,0.12,0.76,2,4.18,0.29,17,"凯尔特人",3
34,"阿莱克西-阿金萨",11.4,0.4,1.4,4.6,0.6,0.4,1,5,9,0,20,"鹈鹕",5
36,"朱-霍勒迪",11.8,8.4,0.6,3.4,0.4,0.2,2.4,5,11.4,0.6,32,"鹈鹕",1.5
37,"泰瑞克-埃文斯",7.4,2.2,0.4,2.6,1,0,1.4,2.6,9.2,1,23,"国王",2.5
39,"丹特-坎宁安",6.6,0.2,0.6,2.8,0.6,0.4,0.2,2.8,4.2,1,23,"鹈鹕",3.5
40,"卢克-巴比特",6,0.8,0,1.2,0.4,0,0,2.2,4.6,1.6,16,"热火",3.5
42,"安东尼-戴维斯",29,1.4,2.6,6.8,1.8,2.2,1.2,11.4,23.4,0.6,35,"鹈鹕",4.5
43,"詹姆斯-恩尼斯",8.33,1.17,1.33,2.83,0.83,0.33,1.17,2.67,6.33,1,23,"灰熊",2.5
